Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-40.74.98.193-51893-443-6,40.74.98.193,443,192.168.18.20,51893,6,07/09/2025 06:10:02 PM,67510,2,2,568.0,0.0,465.0,103.0,284.0,255.9726547895302,0.0,0.0,0.0,0.0,8413.568360242927,59.250481410161456,22503.333333333332,20462.546306198878,45956.0,8288.0,59222.0,59222.0,0.0,59222.0,59222.0,54244.0,54244.0,0.0,54244.0,54244.0,0,0,0,0,40,40,29.625240705080728,29.625240705080728,0.0,465.0,113.6,201.43807981610627,40577.299999999996,0,0,0,0,1,0,0,0,1.0,142.0,284.0,0.0,0,0,0,0,0,0,2,568,2,0,-1,255,2,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-40.74.98.193-51893-443-6,192.168.18.20,51893,40.74.98.193,443,6,07/09/2025 06:10:02 PM,514,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,46692.60700389105,5836.575875486381,257.0,240.41630560342617,427.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,0,0,0,0,40,20,3891.050583657587,1945.5252918287936,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-52.182.143.211-51885-443-6,192.168.18.20,51885,52.182.143.211,443,6,07/09/2025 06:10:03 PM,171561,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.657661123448802,171561.0,0.0,171561.0,171561.0,0,0,0,0,0,171561.0,171561.0,0.0,171561.0,171561.0,0,0,0,0,0,40,0.0,11.657661123448802,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.241.46.245-51899-443-6,192.168.18.20,51899,35.241.46.245,443,6,07/09/2025 06:10:21 PM,602271,8,10,1854.0,5386.0,1412.0,0.0,231.74999999999997,494.405776087387,1412.0,0.0,538.6,632.7864656510212,12021.16655127011,29.886878166141155,35427.70588235294,111293.31097081077,463263.0,0.0,584219.0,83459.85714285714,168897.07248047905,463263.0,0.0,85235.0,9470.555555555555,12892.66257519283,33136.0,0.0,0,0,0,0,172,224,13.283056962729402,16.60382120341175,0.0,1412.0,381.0526315789474,571.8668720062788,327031.71929824556,0,1,0,0,0,0,0,0,1.0,402.22222222222223,231.75,538.6,0,0,0,0,0,0,8,1854,10,5386,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-34.120.52.64-51898-443-6,192.168.18.20,51898,34.120.52.64,443,6,07/09/2025 06:10:20 PM,1492850,16,25,3203.0,16863.0,1412.0,0.0,200.18750000000003,379.512532731134,1412.0,0.0,674.5200000000001,635.2430715875618,13441.404025856584,27.464246240412635,37321.25,135404.8862894693,800558.0,0.0,1472180.0,98145.33333333334,221822.545656808,805685.0,0.0,692292.0,28845.500000000004,69455.87395574634,335283.0,0.0,0,0,0,0,332,524,10.71775463040493,16.746491610007702,0.0,1412.0,477.76190476190476,590.0417021030578,348149.2102206735,0,1,0,0,0,0,0,0,1.0,489.4146341463415,200.1875,674.52,0,0,0,0,0,0,16,3203,25,16863,-1,1043,9,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.107.29-51897-443-6,192.168.18.20,51897,13.227.107.29,443,6,07/09/2025 06:10:16 PM,7528206,67,144,25760.0,105684.0,1412.0,0.0,384.47761194029846,524.449823067396,1412.0,0.0,733.9166666666669,641.2980335477163,17460.20233771499,28.027925909572613,35848.600000000006,320003.27465205756,4594916.0,0.0,7510607.0,113797.07575757577,568123.0160559164,4594916.0,0.0,2933190.0,20511.818181818187,59778.31832209245,531829.0,0.0,0,0,0,0,1364,2916,8.89986272957993,19.128063179992683,0.0,1412.0,620.0188679245284,626.9364614189641,393049.32665653224,0,1,0,0,0,0,0,0,2.0,622.957345971564,384.4776119402985,733.9166666666666,0,0,0,0,0,0,67,25760,144,105684,-1,290,36,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.107.29-51897-443-6,13.227.107.29,443,192.168.18.20,51897,6,07/09/2025 06:10:24 PM,59,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,0,0,0,0,0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,40,0.0,33898.30508474576,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.4-27.140.0.39-0-0-0,134.221.96.4,0,27.140.0.39,0,0,07/09/2025 06:10:18 PM,176,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11363.636363636364,176.0,0.0,176.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5681.818181818182,5681.818181818182,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.2-115.114.0.42-0-0-0,134.221.96.2,0,115.114.0.42,0,0,07/09/2025 06:10:25 PM,984541,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.094210398551203,196908.2,201057.093141973,551171.0,61496.0,859640.0,214910.0,227460.26960475242,551171.0,61496.0,0,0,0,0,0,0,0,0,0,0,0,5.078508665459336,1.0157017330918672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.8-157.222.0.38-0-0-0,134.221.96.8,0,157.222.0.38,0,0,07/09/2025 06:10:27 PM,294325,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79520937738894,294325.0,0.0,294325.0,294325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39760468869447,3.39760468869447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
