Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-20.189.173.14-55372-443-6,192.168.18.20,55372,20.189.173.14,443,6,10/09/2025 02:50:05 PM,370849,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.089545879859458,185424.5,119060.51849584731,269613.0,101236.0,0,0,0,0,0,370849.0,185424.5,119060.51849584731,269613.0,101236.0,0,0,0,0,0,60,0.0,8.089545879859458,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.107.29-55391-443-6,192.168.18.20,55391,13.227.107.29,443,6,10/09/2025 02:50:11 PM,5263667,41,74,13462.0,53023.0,1412.0,0.0,328.34146341463423,498.31403802000693,1412.0,0.0,716.5270270270271,640.8807130040889,12630.928210314216,21.84788665392397,46172.51754385965,304262.51995380776,3227883.0,0.0,5250088.0,131252.19999999998,508927.43986157945,3227883.0,0.0,2035747.0,27886.94520547945,57010.80982388107,205363.0,0.0,0,0,0,0,820,1504,7.789246546181588,14.058640107742379,0.0,1412.0,573.1465517241378,620.1172575557309,384545.4131184407,0,1,0,0,0,0,0,0,1.0,578.1304347826087,328.3414634146341,716.527027027027,0,0,0,0,0,0,41,13462,74,53023,-1,214,20,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.16.197.47-55390-443-6,192.168.18.20,55390,2.16.197.47,443,6,10/09/2025 02:50:11 PM,5433750,10,14,2620.0,3134.0,1384.0,0.0,262.0,452.5908134777422,1412.0,0.0,223.85714285714286,407.0750936475135,1058.9371980676328,4.416839199447895,236250.00000000003,1115780.8184061062,5354498.0,0.0,5427598.0,603066.4444444445,1799108.0357976777,5400663.0,0.0,79252.0,6096.3076923076915,12606.244242336252,46320.0,0.0,0,0,0,0,200,304,1.840349666436623,2.576489533011272,0.0,1412.0,230.16000000000008,411.3719606390304,169226.88999999998,0,1,0,0,0,0,0,0,1.0,239.75,262.0,223.85714285714286,0,0,0,0,0,0,10,2620,14,3134,-1,501,6,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.16.197.47-55390-443-6,192.168.18.20,55390,2.16.197.47,443,6,10/09/2025 02:50:17 PM,40606,0,3,0.0,24.0,0,0,0,0,24.0,0.0,8.0,13.856406460551018,591.0456582771019,73.88070728463774,20303.0,28712.777956860948,40606.0,0.0,0,0,0,0,0,40606.0,20303.0,28712.777956860948,40606.0,0.0,0,0,0,0,0,60,0.0,73.88070728463774,0.0,24.0,6.0,12.0,144.0,1,0,0,0,1,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.107.29-55391-443-6,192.168.18.20,55391,13.227.107.29,443,6,10/09/2025 02:50:17 PM,41046,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48.725819811918335,41046.0,0.0,41046.0,41046.0,0,0,0,0,0,41046.0,41046.0,0.0,41046.0,41046.0,0,0,0,0,0,40,0.0,48.725819811918335,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,214,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.16.197.47-55390-443-6,192.168.18.20,55390,2.16.197.47,443,6,10/09/2025 02:50:17 PM,106,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18867.924528301886,106.0,0.0,106.0,106.0,0,0,0,0,0,106.0,106.0,0.0,106.0,106.0,0,0,0,0,0,40,0.0,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-51.11.168.232-55395-443-6,192.168.18.20,55395,51.11.168.232,443,6,10/09/2025 02:51:38 PM,1026691,10,10,1287.0,4240.0,790.0,0.0,128.7,244.54858640178463,1412.0,0.0,424.0,594.0319856708054,5383.313966909226,19.480057777851368,54036.36842105263,83427.37449303537,190036.0,25.0,838164.0,93129.33333333333,104068.43456110984,237568.0,185.0,1024964.0,113884.88888888889,108845.41413220453,237071.0,92.0,0,0,0,0,200,224,9.740028888925684,9.740028888925684,0.0,1412.0,263.1904761904762,459.50218922738765,211142.26190476195,0,1,0,0,0,0,0,0,1.0,276.35,128.7,424.0,0,0,0,0,0,0,10,1287,10,4240,-1,16381,5,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-51.11.168.232-55395-443-6,51.11.168.232,443,192.168.18.20,55395,6,10/09/2025 02:51:40 PM,152,1,2,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,21.0,29.698484809834994,276315.7894736842,19736.842105263157,76.0,14.142135623730951,86.0,66.0,0,0,0,0,0,66.0,66.0,0.0,66.0,66.0,0,1,0,0,20,40,6578.9473684210525,13157.894736842105,0.0,42.0,21.0,24.24871130596428,588.0,0,0,0,1,1,0,0,0,2.0,28.0,0.0,21.0,0,0,0,0,0,0,1,0,2,42,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.1-239.255.255.250-33810-1900-17,192.168.18.1,33810,239.255.255.250,1900,17,10/09/2025 02:49:52 PM,61564237,6,1,796.0,132.0,133.0,132.0,132.66666666666666,0.5163977794943211,132.0,132.0,132.0,0.0,15.073686367622814,0.11370237561784449,1.0260706166666668E7,2.449664187423633E7,6.0264267E7,259636.0,6.1304228E7,1.2260845599999998E7,2.683472835240603E7,6.0264267E7,259636.0,0,0,0,0,0,0,0,0,0,48,8,0.09745917910100957,0.016243196516834927,132.0,133.0,132.5,0.5345224838248444,0.28571428571428104,0,0,0,0,0,0,0,0,0.0,151.42857142857142,132.66666666666666,132.0,0,0,0,0,0,0,6,796,1,132,-1,-1,6,0,520188.0,0.0,520188.0,520188.0,6.0264267E7,0.0,6.0264267E7,6.0264267E7,No Label
192.168.18.20-224.0.0.251-5353-5353-17,192.168.18.20,5353,224.0.0.251,5353,17,10/09/2025 02:49:55 PM,809960,5,1,1023.0,346.0,467.0,51.0,204.6,211.53912167729166,346.0,346.0,346.0,0.0,1690.2069237987062,7.407773223369055,161992.0,142243.4990447718,268962.0,4427.0,801999.0,200499.75,130736.26872543823,268962.0,4427.0,0,0,0,0,0,0,0,0,0,40,8,6.173144352807546,1.2346288705615092,51.0,467.0,245.0,185.9919353090343,34592.99999999999,0,0,0,0,0,0,0,0,0.0,285.8333333333333,204.6,346.0,0,0,0,0,0,0,5,1023,1,346,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
134.221.96.4-147.155.0.48-0-0-0,134.221.96.4,0,147.155.0.48,0,0,10/09/2025 02:50:04 PM,99998676,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000079441051799,1.99997352E7,1036.134498991323,2.000051E7,1.9997971E7,8.0000705E7,2.000017625E7,366.87725013506446,2.000051E7,1.9999667E7,0,0,0,0,0,0,0,0,0,0,0,0.050000662008765,0.010000132401752999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,1.99997352E7,1036.134498991323,2.000051E7,1.9997971E7,No Label
134.221.96.2-227.25.0.123-0-0-0,134.221.96.2,0,227.25.0.123,0,0,10/09/2025 02:50:19 PM,60000833,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033332870561980366,6.0000833E7,0.0,6.0000833E7,6.0000833E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666435280990183,0.016666435280990183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.0000833E7,0.0,6.0000833E7,6.0000833E7,No Label
134.221.96.2-227.25.0.20-0-0-0,134.221.96.2,0,227.25.0.20,0,0,10/09/2025 02:50:19 PM,59995084,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033336064668231816,5.9995084E7,0.0,5.9995084E7,5.9995084E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016668032334115908,0.016668032334115908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.9995084E7,0.0,5.9995084E7,5.9995084E7,No Label
192.168.18.20-95.101.25.149-55398-80-6,192.168.18.20,55398,95.101.25.149,80,6,10/09/2025 02:52:32 PM,13342,3,4,154.0,187.0,154.0,0.0,51.33333333333333,88.91194145520237,187.0,0.0,46.75,93.5,25558.387048418528,524.6589716684156,2223.6666666666665,3160.638079038261,7046.0,50.0,7862.0,3931.0,5474.420699946251,7802.0,60.0,13275.0,4425.0,3348.5879113441238,7156.0,689.0,0,0,0,0,60,104,224.85384500074952,299.805126667666,0.0,187.0,42.625,79.41740993006508,6307.124999999999,0,1,0,0,0,0,0,0,1.0,48.714285714285715,51.333333333333336,46.75,0,0,0,0,0,0,3,154,4,187,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-95.101.25.147-55399-80-6,192.168.18.20,55399,95.101.25.147,80,6,10/09/2025 02:52:45 PM,16475,2,5,154.0,187.0,154.0,0.0,77.0,108.89444430272832,187.0,0.0,37.4,83.62894235849214,20698.027314112293,424.88619119878604,2745.8333333333335,2991.5556098235356,6577.0,0.0,176.0,176.0,0.0,176.0,176.0,16475.0,4118.75,2915.292709717728,6831.0,0.0,0,0,0,0,40,124,121.39605462822458,303.49013657056145,0.0,187.0,42.625,79.41740993006508,6307.124999999999,0,1,0,0,0,0,0,0,2.0,48.714285714285715,77.0,37.4,0,0,0,0,0,0,2,154,5,187,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-95.101.25.147-55399-80-6,192.168.18.20,55399,95.101.25.147,80,6,10/09/2025 02:52:45 PM,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.4-63.226.0.21-0-0-0,134.221.96.4,0,63.226.0.21,0,0,10/09/2025 02:50:33 PM,90146338,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03327922205780561,4.5073169E7,565.685424949238,4.5073569E7,4.5072769E7,4.5072769E7,4.5072769E7,0.0,4.5072769E7,4.5072769E7,0,0,0,0,0,0,0,0,0,0,0,0.022186148038537072,0.011093074019268536,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.5073169E7,565.685424949238,4.5073569E7,4.5072769E7,No Label
