Src IP,Dst IP,isAttack,type_attack
192.168.18.20,40.79.141.154,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,52.168.117.175,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,52.168.117.175,BENIGN,BENIGN
134.221.96.4,98.42.4.214,BENIGN,BENIGN
134.221.96.6,60.75.4.214,BENIGN,BENIGN
134.221.96.4,98.42.0.39,BENIGN,BENIGN
52.168.117.175,192.168.18.20,BENIGN,BENIGN
134.221.96.6,60.75.0.39,BENIGN,BENIGN
134.221.96.12,107.148.0.20,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
134.221.96.4,98.42.0.41,BENIGN,BENIGN
140.82.112.26,192.168.18.20,BENIGN,BENIGN
