Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
185.199.111.154-192.168.18.20-443-60089-6,192.168.18.20,60089,185.199.111.154,443,6,06/09/2025 11:07:46 PM,117210,0,4,0.0,24.0,0,0,0,0,24.0,0.0,6.0,12.0,204.76068594829795,34.12678099138299,39070.0,67671.22505171604,117210.0,0.0,0,0,0,0,0,117210.0,39070.0,67671.22505171604,117210.0,0.0,0,0,0,0,0,80,0.0,34.12678099138299,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,0,1,0,0,0,0.0,6.0,0.0,6.0,0,0,0,0,0,0,0,0,4,24,-1,293,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.89.179.13-60098-443-6,192.168.18.20,60098,13.89.179.13,443,6,06/09/2025 11:07:48 PM,168942,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.838382403428396,168942.0,0.0,168942.0,168942.0,0,0,0,0,0,168942.0,168942.0,0.0,168942.0,168942.0,0,0,0,0,0,40,0.0,11.838382403428396,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16381,0,0,0,0,0,0,0,0,0,0,No Label
140.82.112.22-192.168.18.20-443-60088-6,192.168.18.20,60088,140.82.112.22,443,6,06/09/2025 11:07:46 PM,3961222,11,12,8532.0,682.0,1412.0,0.0,775.6363636363637,731.2110875427522,478.0,0.0,56.833333333333336,135.22831423077406,2326.0498906650523,5.806289069383135,180055.54545454547,693000.9456137111,3265257.0,0.0,3957495.0,395749.5,1040809.9410495708,3344440.0,0.0,695965.0,63269.545454545456,117229.57477476717,376862.0,0.0,0,1,0,0,232,300,2.776920859270195,3.02936821011294,0.0,1412.0,387.1666666666667,611.9417183577752,374472.6666666667,0,0,0,1,1,0,0,0,1.0,404.0,775.6363636363636,56.833333333333336,0,0,0,0,0,0,11,8532,12,682,-1,348,8,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.16.197.47-60095-443-6,192.168.18.20,60095,2.16.197.47,443,6,06/09/2025 11:07:47 PM,3553744,4,8,74.0,2572.0,39.0,0.0,18.5,21.42428528562855,1412.0,0.0,321.5,515.4415582779487,744.5668568135465,3.376720439063703,323067.63636363635,1026854.0532558921,3418069.0,0.0,3553622.0,1184540.6666666667,1984861.893588653,3476047.0,1028.0,135675.0,19382.142857142855,33477.17556001686,76502.0,0.0,0,1,0,0,80,160,1.125573479687901,2.251146959375802,0.0,1412.0,209.23076923076925,420.8891686747146,177147.69230769234,0,0,0,1,1,0,0,0,2.0,226.66666666666666,18.5,321.5,0,0,0,0,0,0,4,74,8,2572,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.18.20-443-60091-6,192.168.18.20,60091,185.199.111.154,443,6,06/09/2025 11:07:50 PM,607850,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6451427161306242,3.2902854322612485,607850.0,0.0,607850.0,607850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.6451427161306242,1.6451427161306242,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.18.20-443-60091-6,185.199.111.154,443,192.168.18.20,60091,6,06/09/2025 11:07:50 PM,5051,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,4751.534349633736,791.9223916056227,1683.6666666666667,2739.731799525883,4845.0,0.0,5051.0,5051.0,0.0,5051.0,5051.0,206.0,206.0,0.0,206.0,206.0,0,0,0,0,40,52,395.96119580281135,395.96119580281135,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.16.197.47-60095-443-6,2.16.197.47,443,192.168.18.20,60095,6,06/09/2025 11:07:50 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
140.82.112.22-192.168.18.20-443-60088-6,192.168.18.20,60088,140.82.112.22,443,6,06/09/2025 11:07:50 PM,54481,0,3,0.0,24.0,0,0,0,0,24.0,0.0,8.0,13.856406460551018,440.5205484480828,55.06506855601035,27240.5,38523.884545824294,54481.0,0.0,0,0,0,0,0,54481.0,27240.5,38523.884545824294,54481.0,0.0,0,0,0,0,0,60,0.0,55.06506855601035,0.0,24.0,6.0,12.0,144.0,1,0,0,0,1,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,-1,348,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.107.75-60108-443-6,192.168.18.20,60108,13.227.107.75,443,6,06/09/2025 11:07:47 PM,13113501,56,95,18593.0,63233.0,1412.0,0.0,332.0178571428572,508.7790551389197,1412.0,0.0,665.6105263157895,633.824817980503,6239.828707833248,11.514850229545871,87423.34,673913.5056307607,8247705.0,0.0,1.3085133E7,237911.5090909091,1104634.0922287994,8247705.0,0.0,4865651.0,51762.24468085108,95463.09359261736,510215.0,0.0,0,0,0,0,1204,1972,4.270408032149462,7.244442197396409,0.0,1412.0,538.328947368421,610.138012574441,372268.3943882886,0,1,0,0,0,0,0,0,1.0,541.8940397350993,332.01785714285717,665.6105263157895,0,0,0,0,0,0,56,18593,95,63233,-1,231,28,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-52.182.141.63-60111-443-6,192.168.18.20,60111,52.182.141.63,443,6,06/09/2025 11:08:00 PM,2988171,23,18,14461.0,4894.0,1412.0,0.0,628.7391304347824,622.1761821068271,1412.0,0.0,271.88888888888886,529.214277617287,6477.206291072365,13.720767653524515,74704.27500000002,247804.71573294673,1541697.0,0.0,2818607.0,128118.5,329929.14705877163,1541697.0,0.0,2979190.0,175246.4705882353,425889.0876208437,1787593.0,0.0,0,0,0,0,460,384,7.697016000757654,6.02375165276686,0.0,1412.0,460.8333333333333,600.4228963585122,360507.6544715446,0,1,0,0,0,0,0,0,0.0,472.0731707317073,628.7391304347826,271.8888888888889,0,0,0,0,0,0,23,14461,18,4894,-1,16386,17,0,0,0,0,0,0,0,0,0,No Label
